mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.24026880264282227,0.02539353886752569,0.0,0.0,0.1,l1,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.23211097717285156,0.008771275052277764,0.0,0.0,0.1,l1,5000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
0.36892046928405764,0.1048914781603747,0.0,0.0,0.1,l1,,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.2705662250518799,0.028885347717967674,0.059166669845581055,0.0064142174946761644,0.1,l2,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9545004945598418,0.9528519617540389,0.9508737223870755,0.9508737223870755,0.9508575197889182,0.9519914841753898,0.0014710685118826243,7,0.9548264776193224,0.9558156788393373,0.9552386447943286,0.9570521803643558,0.956396307286515,0.9558658577807717,0.0007956083366840411
0.2627314567565918,0.006000844269254115,0.06402134895324707,0.00516209040561076,0.1,l2,5000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9512034289482361,0.9495548961424333,0.9475766567754699,0.9488954830201121,0.9465699208443272,0.9487600771461157,0.0016010814105764937,8,0.95400214326931,0.9546616107493199,0.9544143104443162,0.9556508119693348,0.955242334322453,0.9547942421509468,0.0005871725941542813
0.2609144687652588,0.003983360578245063,0.05757055282592773,0.003191829400814922,0.1,l2,,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': None}",0.9512034289482361,0.9495548961424333,0.9475766567754699,0.9488954830201121,0.9465699208443272,0.9487600771461157,0.0016010814105764937,8,0.95400214326931,0.9546616107493199,0.9544143104443162,0.9556508119693348,0.955242334322453,0.9547942421509468,0.0005871725941542813
0.23227920532226562,0.00029168915110482194,0.0,0.0,1,l1,1000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.2272859573364258,0.006319292416232014,0.0,0.0,1,l1,5000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
0.23226194381713866,0.009092962796668453,0.0,0.0,1,l1,,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.2640751838684082,0.0050548603265506194,0.06242666244506836,0.006081768657812934,1,l2,1000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9663699307616221,0.9676887570062644,0.9706561160567095,0.9660402242004615,0.9689973614775725,0.967950477900526,0.0017106805277132384,4,0.9757645701096365,0.975599703239634,0.9757645701096365,0.9756821366746352,0.9756841411144082,0.9756990242495901,6.158551852155336e-05
0.27534847259521483,0.008111498670485431,0.062453079223632815,0.006001773039348631,1,l2,5000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9650511045169798,0.9673590504451038,0.9690075832509067,0.9663699307616221,0.9673482849604221,0.9670271907870068,0.0013016984519851713,5,0.9778254059846674,0.9764240375896464,0.9770835050696562,0.9771659385046575,0.9774151005605012,0.9771827975418257,0.0004588616764324777
0.27678728103637695,0.008105952886386967,0.05751280784606934,0.003109952049371711,1,l2,,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': None}",0.9650511045169798,0.9673590504451038,0.9690075832509067,0.9663699307616221,0.9673482849604221,0.9670271907870068,0.0013016984519851713,5,0.9778254059846674,0.9764240375896464,0.9770835050696562,0.9771659385046575,0.9774151005605012,0.9771827975418257,0.0004588616764324777
0.24344301223754883,0.034778538002685294,0.0,0.0,10,l1,1000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.24488096237182616,0.025728804971407747,0.0,0.0,10,l1,5000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
0.2353743076324463,0.0037571232576133562,0.0,0.0,10,l1,,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.28796987533569335,0.008766299847609993,0.0576073169708252,0.0032307192307762843,10,l2,1000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9666996373227827,0.9683481701285855,0.9709858226178701,0.968018463567425,0.9696569920844327,0.9687418171442193,0.0014643635156634124,3,0.9844200807847663,0.9837606133047564,0.9845025142197675,0.9831835792597478,0.9848334981866139,0.9841400571511304,0.0005915194706764975
0.3012564659118652,0.011777688047486579,0.057566070556640626,0.003241063955339344,10,l2,5000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9690075832509067,0.9683481701285855,0.9713155291790306,0.9699967029343884,0.9703166226912929,0.9697969216368408,0.0010332576290766205,1,0.9909323221498639,0.9888714862748331,0.9898606874948479,0.9888714862748331,0.9897790966040224,0.98966301575968,0.0007637703110534246
0.30634503364562987,0.012633577321074018,0.059187126159667966,0.0039009931439658438,10,l2,,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': None}",0.9690075832509067,0.9683481701285855,0.9713155291790306,0.9699967029343884,0.9703166226912929,0.9697969216368408,0.0010332576290766205,1,0.9909323221498639,0.9888714862748331,0.9898606874948479,0.9888714862748331,0.9897790966040224,0.98966301575968,0.0007637703110534246
